"Mot,Distribution,Fréquence relative"
famille,7,0.0027258566978193145
retour,1,0.0003894080996884735
mettra,1,0.0003894080996884735
défend,3,0.0011682242990654205
reculé,1,0.0003894080996884735
applaudir,2,0.000778816199376947
amoureux,1,0.0003894080996884735
revoir,2,0.000778816199376947
comblée,1,0.0003894080996884735
demandent,2,0.000778816199376947
satisfais,1,0.0003894080996884735
pourrions,2,0.000778816199376947
derechef,1,0.0003894080996884735
regret,3,0.0011682242990654205
remplira,1,0.0003894080996884735
espoir,7,0.0027258566978193145
paix,14,0.005451713395638629
compare,1,0.0003894080996884735
époux,23,0.00895638629283489
exemple,3,0.0011682242990654205
rigoureux,1,0.0003894080996884735
serai,2,0.000778816199376947
achète,1,0.0003894080996884735
coup,7,0.0027258566978193145
fuite,9,0.0035046728971962616
la,231,0.08995327102803738
distraire,1,0.0003894080996884735
faces,1,0.0003894080996884735
parurent,1,0.0003894080996884735
avis,2,0.000778816199376947
démentir,1,0.0003894080996884735
recours,1,0.0003894080996884735
aurez,1,0.0003894080996884735
évertue,1,0.0003894080996884735
saurait,6,0.002336448598130841
moins,42,0.016355140186915886
crois,4,0.001557632398753894
chaleur,2,0.000778816199376947
charmais,1,0.0003894080996884735
parce,1,0.0003894080996884735
esclave,5,0.0019470404984423676
pareil,6,0.002336448598130841
avec,36,0.014018691588785047
encourager,1,0.0003894080996884735
edition,5,0.0019470404984423676
dissimuler,1,0.0003894080996884735
publiques,2,0.000778816199376947
femme,18,0.007009345794392523
dieux,33,0.012850467289719626
perdrai,1,0.0003894080996884735
neveux,1,0.0003894080996884735
mesurer,2,0.000778816199376947
donnait,1,0.0003894080996884735
déchire,1,0.0003894080996884735
estime,5,0.0019470404984423676
plus,115,0.04478193146417445
dénué,1,0.0003894080996884735
malheureux,3,0.0011682242990654205
endormie,1,0.0003894080996884735
égale,5,0.0019470404984423676
étant,3,0.0011682242990654205
permettez,5,0.0019470404984423676
suivre,5,0.0019470404984423676
peines,2,0.000778816199376947
préparerais,1,0.0003894080996884735
arrosé,1,0.0003894080996884735
trahison,1,0.0003894080996884735
venger,4,0.001557632398753894
patience,2,0.000778816199376947
abattu,2,0.000778816199376947
flavian,1,0.0003894080996884735
sembleront,1,0.0003894080996884735
lorsqu,6,0.002336448598130841
mien,4,0.001557632398753894
détestent,1,0.0003894080996884735
accepte,2,0.000778816199376947
ennui,2,0.000778816199376947
fait,69,0.026869158878504672
consulter,1,0.0003894080996884735
quittes,1,0.0003894080996884735
imprimée,1,0.0003894080996884735
combien,5,0.0019470404984423676
trancher,2,0.000778816199376947
doivent,4,0.001557632398753894
conserviez,1,0.0003894080996884735
brave,2,0.000778816199376947
mériter,2,0.000778816199376947
vaut,2,0.000778816199376947
songes,1,0.0003894080996884735
unis,1,0.0003894080996884735
montre,2,0.000778816199376947
rompez,1,0.0003894080996884735
adore,1,0.0003894080996884735
apaiser,3,0.0011682242990654205
mon,115,0.04478193146417445
tantôt,3,0.0011682242990654205
laisserai,1,0.0003894080996884735
brille,1,0.0003894080996884735
las,2,0.000778816199376947
interprète,1,0.0003894080996884735
loisir,1,0.0003894080996884735
vieil,30,0.011682242990654205
acquitte,1,0.0003894080996884735
au,58,0.022585669781931463
conditions,1,0.0003894080996884735
asservie,5,0.0019470404984423676
dons,1,0.0003894080996884735
aveuglement,1,0.0003894080996884735
premier,8,0.003115264797507788
génie,1,0.0003894080996884735
sensible,1,0.0003894080996884735
offre,3,0.0011682242990654205
chacun,9,0.0035046728971962616
simple,1,0.0003894080996884735
fuyant,1,0.0003894080996884735
aventure,1,0.0003894080996884735
enfermer,1,0.0003894080996884735
obtint,1,0.0003894080996884735
obtenu,1,0.0003894080996884735
souffre,5,0.0019470404984423676
cruautés,1,0.0003894080996884735
capable,1,0.0003894080996884735
aspect,1,0.0003894080996884735
rendra,1,0.0003894080996884735
querelle,4,0.001557632398753894
vécu,4,0.001557632398753894
biens,1,0.0003894080996884735
proie,1,0.0003894080996884735
triomphants,1,0.0003894080996884735
armée,6,0.002336448598130841
erreur,7,0.0027258566978193145
furie,1,0.0003894080996884735
vies,1,0.0003894080996884735
ennemie,2,0.000778816199376947
a,84,0.03271028037383177
presque,2,0.000778816199376947
satisfaits,1,0.0003894080996884735
demeurera,1,0.0003894080996884735
vois,13,0.0050623052959501555
j,76,0.029595015576323987
préfère,3,0.0011682242990654205
être,23,0.00895638629283489
suite,2,0.000778816199376947
poursuite,1,0.0003894080996884735
prie,1,0.0003894080996884735
déférés,1,0.0003894080996884735
choqué,1,0.0003894080996884735
prospères,1,0.0003894080996884735
bonté,1,0.0003894080996884735
touchent,1,0.0003894080996884735
préparent,1,0.0003894080996884735
précieux,2,0.000778816199376947
retiens,1,0.0003894080996884735
prison,1,0.0003894080996884735
personnes,3,0.0011682242990654205
conduite,1,0.0003894080996884735
trésor,1,0.0003894080996884735
détruit,3,0.0011682242990654205
mutinent,1,0.0003894080996884735
vengée,2,0.000778816199376947
faiblesse,12,0.004672897196261682
changé,1,0.0003894080996884735
tiennent,1,0.0003894080996884735
mort,36,0.014018691588785047
lâche,5,0.0019470404984423676
embrassez,1,0.0003894080996884735
romains,9,0.0035046728971962616
côtés,2,0.000778816199376947
aveuglément,1,0.0003894080996884735
sein,1,0.0003894080996884735
goûté,1,0.0003894080996884735
qu,226,0.08800623052959501
esprits,3,0.0011682242990654205
bouts,1,0.0003894080996884735
prière,1,0.0003894080996884735
fondre,1,0.0003894080996884735
verrai,2,0.000778816199376947
sentiment,3,0.0011682242990654205
cache,2,0.000778816199376947
fratricide,1,0.0003894080996884735
triompher,7,0.0027258566978193145
disons,1,0.0003894080996884735
autels,1,0.0003894080996884735
conspirent,2,0.000778816199376947
douteux,2,0.000778816199376947
blâmes,1,0.0003894080996884735
aime,17,0.00661993769470405
impuni,1,0.0003894080996884735
programme,5,0.0019470404984423676
soutiendront,1,0.0003894080996884735
sacrés,2,0.000778816199376947
monstre,1,0.0003894080996884735
réservez,1,0.0003894080996884735
chemin,2,0.000778816199376947
attendrissez,1,0.0003894080996884735
rhin,1,0.0003894080996884735
acheté,1,0.0003894080996884735
haut,5,0.0019470404984423676
mêler,1,0.0003894080996884735
courroux,2,0.000778816199376947
hercule,1,0.0003894080996884735
débile,1,0.0003894080996884735
condamnée,1,0.0003894080996884735
dépendrait,1,0.0003894080996884735
certes,2,0.000778816199376947
cèle,1,0.0003894080996884735
tigres,1,0.0003894080996884735
indignité,1,0.0003894080996884735
ceigne,1,0.0003894080996884735
jour,19,0.007398753894080997
séparés,1,0.0003894080996884735
derrière,1,0.0003894080996884735
déployer,1,0.0003894080996884735
moment,11,0.004283489096573208
tard,2,0.000778816199376947
pleurant,1,0.0003894080996884735
dégager,1,0.0003894080996884735
élève,3,0.0011682242990654205
aimiez,1,0.0003894080996884735
contribuer,1,0.0003894080996884735
avance,2,0.000778816199376947
gloire,35,0.013629283489096573
pompeux,1,0.0003894080996884735
noeuds,6,0.002336448598130841
stupide,1,0.0003894080996884735
pris,5,0.0019470404984423676
dégénérons,1,0.0003894080996884735
secours,6,0.002336448598130841
croissez,1,0.0003894080996884735
moyens,4,0.001557632398753894
aillent,1,0.0003894080996884735
inconnu,1,0.0003894080996884735
immortaliser,1,0.0003894080996884735
saurais,1,0.0003894080996884735
jouissent,1,0.0003894080996884735
participe,1,0.0003894080996884735
peine,9,0.0035046728971962616
connaissez,1,0.0003894080996884735
on,89,0.03465732087227414
répudiée,1,0.0003894080996884735
commune,2,0.000778816199376947
concevoir,1,0.0003894080996884735
morne,1,0.0003894080996884735
doutez,1,0.0003894080996884735
sitôt,3,0.0011682242990654205
soyons,3,0.0011682242990654205
italie,1,0.0003894080996884735
soyez,1,0.0003894080996884735
cet,10,0.003894080996884735
pourrai,2,0.000778816199376947
conserver,4,0.001557632398753894
retirons,1,0.0003894080996884735
lorsque,1,0.0003894080996884735
considère,3,0.0011682242990654205
gendre,5,0.0019470404984423676
connaissaient,1,0.0003894080996884735
mâle,3,0.0011682242990654205
toutes,10,0.003894080996884735
garde,5,0.0019470404984423676
fuit,3,0.0011682242990654205
retient,1,0.0003894080996884735
flatteuse,1,0.0003894080996884735
rival,2,0.000778816199376947
paraissant,1,0.0003894080996884735
affermi,1,0.0003894080996884735
froid,1,0.0003894080996884735
immortalité,1,0.0003894080996884735
discord,1,0.0003894080996884735
repose,1,0.0003894080996884735
soudain,5,0.0019470404984423676
achetez,1,0.0003894080996884735
deviendra,1,0.0003894080996884735
lauriers,8,0.003115264797507788
excuse,3,0.0011682242990654205
refus,3,0.0011682242990654205
envie,2,0.000778816199376947
réduite,2,0.000778816199376947
deviennent,1,0.0003894080996884735
dedans,2,0.000778816199376947
origine,1,0.0003894080996884735
tue,3,0.0011682242990654205
aventin,1,0.0003894080996884735
non,25,0.009735202492211837
de,471,0.18341121495327103
vulgaire,1,0.0003894080996884735
t,33,0.012850467289719626
entrailles,1,0.0003894080996884735
objet,6,0.002336448598130841
leurs,27,0.010514018691588784
terme,1,0.0003894080996884735
craindre,13,0.0050623052959501555
redoublez,1,0.0003894080996884735
puisqu,5,0.0019470404984423676
pressantes,1,0.0003894080996884735
bords,1,0.0003894080996884735
belles,2,0.000778816199376947
combattront,2,0.000778816199376947
pouvez,4,0.001557632398753894
tendent,1,0.0003894080996884735
ton,37,0.01440809968847352
carnage,1,0.0003894080996884735
même,36,0.014018691588785047
flatte,1,0.0003894080996884735
légitime,4,0.001557632398753894
pour,179,0.06970404984423675
résonne,1,0.0003894080996884735
bataille,9,0.0035046728971962616
apollon,1,0.0003894080996884735
incessamment,1,0.0003894080996884735
entendu,1,0.0003894080996884735
mourront,1,0.0003894080996884735
loin,7,0.0027258566978193145
partager,1,0.0003894080996884735
prenait,1,0.0003894080996884735
dérobe,1,0.0003894080996884735
punir,5,0.0019470404984423676
désir,1,0.0003894080996884735
craignais,1,0.0003894080996884735
joins,1,0.0003894080996884735
propos,2,0.000778816199376947
amour,31,0.012071651090342679
essayez,1,0.0003894080996884735
blessé,2,0.000778816199376947
victoire,19,0.007398753894080997
victimes,1,0.0003894080996884735
rien,29,0.011292834890965732
telle,8,0.003115264797507788
merveille,1,0.0003894080996884735
agit,4,0.001557632398753894
serons,1,0.0003894080996884735
tel,17,0.00661993769470405
caresses,1,0.0003894080996884735
secoure,1,0.0003894080996884735
volaient,1,0.0003894080996884735
vivais,1,0.0003894080996884735
faible,4,0.001557632398753894
obscures,1,0.0003894080996884735
civiles,1,0.0003894080996884735
rangs,2,0.000778816199376947
accès,2,0.000778816199376947
conçoit,1,0.0003894080996884735
approuver,1,0.0003894080996884735
descendent,1,0.0003894080996884735
ai,46,0.01791277258566978
frémis,2,0.000778816199376947
visage,2,0.000778816199376947
puisse,5,0.0019470404984423676
