Numéro|Nom de Page|Lien image|Largeur|Longueur
f95|43r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f95|3818|5651
f96|43v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f96|3831|5616
f97|44r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f97|3836|5636
f98|44v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f98|3823|5616
f99|45r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f99|3836|5636
f100|45v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f100|3797|5616
f101|46r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f101|3883|5636
f102|46v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f102|3805|5616
f103|47r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f103|3883|5636
f104|47v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f104|3805|5616
f105|48r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f105|3883|5636
f106|48v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f106|3805|5616
f107|49r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f107|3860|5647
f108|49v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f108|3808|5634
f109|50r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f109|3860|5647
f110|50v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f110|3853|5634
f111|51r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f111|3860|5647
f112|51v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f112|3805|5634
f113|52r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f113|3860|5647
f114|52v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f114|3805|5634
f115|53r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f115|3860|5647
f116|53v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f116|3805|5634
f117|54r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f117|3860|5647
f118|54v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f118|3805|5634
f119|55r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f119|3818|5647
f120|55v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f120|3805|5634
f121|56r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f121|3818|5647
f122|56v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f122|3805|5621
f123|57r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f123|3843|5647
f124|57v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f124|3792|5590
f125|58r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f125|3843|5647
f126|58v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f126|3793|5590
f127|59r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f127|3843|5647
f128|59v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f128|3800|5605
f129|60r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f129|3820|5647
f130|60v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f130|3800|5605
f131|61r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f131|3820|5647
f132|61v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f132|3813|5605
f133|62r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f133|3837|5647
f134|62v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f134|3813|5605
f135|63r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f135|3822|5647
f136|63v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f136|3813|5605
f137|64r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f137|3798|5647
f138|64v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f138|3757|5630
f139|65r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f139|3807|5635
f140|65v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f140|3757|5630
